CMDLINE C:\Users\63977\AppData\Local\Programs\Python\Python311\python.exe PolyVisionMain.py
MEM 227.519531 1690947140.9244
MEM 227.519531 1690947141.0251
MEM 227.519531 1690947141.1254
MEM 227.519531 1690947141.2257
MEM 227.519531 1690947141.3262
MEM 229.953125 1690947141.4269
MEM 227.519531 1690947141.5278
MEM 227.519531 1690947141.6282
MEM 227.519531 1690947141.7287
MEM 227.765625 1690947141.8291
MEM 227.519531 1690947141.9295
MEM 227.519531 1690947142.0306
MEM 227.519531 1690947142.1309
MEM 227.519531 1690947142.2314
MEM 227.519531 1690947142.3321
MEM 227.519531 1690947142.4325
MEM 227.519531 1690947142.5332
MEM 227.519531 1690947142.6340
MEM 227.519531 1690947142.7348
MEM 227.519531 1690947142.8355
MEM 227.519531 1690947142.9359
MEM 227.519531 1690947143.0364
MEM 227.519531 1690947143.1367
MEM 227.519531 1690947143.2372
MEM 227.519531 1690947143.3376
MEM 227.519531 1690947143.4380
MEM 227.519531 1690947143.5385
MEM 227.519531 1690947143.6389
MEM 227.519531 1690947143.7393
MEM 227.519531 1690947143.8397
MEM 227.519531 1690947143.9401
MEM 227.519531 1690947144.0408
MEM 227.519531 1690947144.1412
MEM 227.519531 1690947144.2420
MEM 227.519531 1690947144.3424
MEM 227.519531 1690947144.4426
MEM 227.519531 1690947144.5428
MEM 227.519531 1690947144.6431
MEM 227.519531 1690947144.7434
MEM 227.519531 1690947144.8441
MEM 227.519531 1690947144.9447
MEM 227.519531 1690947145.0453
MEM 227.519531 1690947145.1459
MEM 227.519531 1690947145.2468
MEM 227.519531 1690947145.3473
MEM 227.503906 1690947145.4477
MEM 227.503906 1690947145.5482
MEM 227.503906 1690947145.6486
MEM 227.503906 1690947145.7490
MEM 227.503906 1690947145.8494
MEM 227.503906 1690947145.9503
MEM 227.503906 1690947146.0511
MEM 227.503906 1690947146.1515
MEM 227.503906 1690947146.2519
MEM 227.503906 1690947146.3523
MEM 227.503906 1690947146.4529
MEM 227.503906 1690947146.5533
MEM 227.503906 1690947146.6544
MEM 227.503906 1690947146.7550
MEM 227.503906 1690947146.8554
MEM 227.519531 1690947146.9557
MEM 227.570312 1690947147.0558
MEM 227.570312 1690947147.1561
MEM 227.570312 1690947147.2565
MEM 227.570312 1690947147.3569
MEM 227.570312 1690947147.4573
MEM 231.558594 1690947147.5577
MEM 265.238281 1690947147.6585
MEM 232.480469 1690947147.7593
MEM 250.832031 1690947147.8606
MEM 232.242188 1690947147.9612
MEM 232.242188 1690947148.0617
MEM 232.242188 1690947148.1624
MEM 232.242188 1690947148.2628
MEM 232.242188 1690947148.3635
MEM 232.242188 1690947148.4636
MEM 232.242188 1690947148.5638
MEM 232.242188 1690947148.6642
MEM 232.246094 1690947148.7646
MEM 232.246094 1690947148.8648
MEM 232.246094 1690947148.9653
MEM 232.246094 1690947149.0659
MEM 232.246094 1690947149.1663
MEM 232.246094 1690947149.2667
MEM 232.246094 1690947149.3673
MEM 232.246094 1690947149.4676
MEM 232.246094 1690947149.5680
MEM 232.246094 1690947149.6684
MEM 232.246094 1690947149.7688
MEM 232.246094 1690947149.8694
MEM 232.246094 1690947149.9700
MEM 232.246094 1690947150.0704
